playlist_name,playlist_id,playlist_uri,owner,tracks_count
It's a Girl!,52rJQYDn9Q5dufvGPqqzgf,spotify:playlist:52rJQYDn9Q5dufvGPqqzgf,Spotify,25
Graduation,5pxi1UkDk0BbUPDTPjmi4v,spotify:playlist:5pxi1UkDk0BbUPDTPjmi4v,Spotify,40
Music Happens Here: The Music,4se8FxjaBGTHCTXIPoJlc0,spotify:playlist:4se8FxjaBGTHCTXIPoJlc0,Spotify,23
Best of 2016: Ultimate Indie,1517hhPIVwA9EN41krpZo3,spotify:playlist:1517hhPIVwA9EN41krpZo3,Spotify,50
The 2016 AMAs,0tdTsuJmnf6cRE22DMcgIq,spotify:playlist:0tdTsuJmnf6cRE22DMcgIq,Spotify,35
Classic Soul With Seth Rogen,6GZ9F4MZpPdHJEwhq3kHKG,spotify:playlist:6GZ9F4MZpPdHJEwhq3kHKG,Spotify,41
Top Gaming Tracks: One Year Together,2FmMinHNFfX3Apt34AwEqc,spotify:playlist:2FmMinHNFfX3Apt34AwEqc,Spotify,100
Moving Castle Monthly,0NKCe5F0ORuDO4sPmqhvcQ,spotify:playlist:0NKCe5F0ORuDO4sPmqhvcQ,Moving Castle,83
,4A01B3wh6uv7yOpzYdVLR3,spotify:playlist:4A01B3wh6uv7yOpzYdVLR3,beatteamsupreme,40
Bread & Dub,4drXxn0GpOXXG6Rp5RvXca,spotify:playlist:4drXxn0GpOXXG6Rp5RvXca,Spotify,25
The Blues Skies,070FVPBKvfu6M5tf4I9rt2,spotify:playlist:070FVPBKvfu6M5tf4I9rt2,Spotify,30
It Only Takes Two,5McngUiuALFIS4VVF4oko5,spotify:playlist:5McngUiuALFIS4VVF4oko5,Spotify,37
Historic Venue: Ryman Auditorium,2lOMjzyPMlcIvcaWlaF6MB,spotify:playlist:2lOMjzyPMlcIvcaWlaF6MB,Spotify,26
Vocal Acrobats,2JskSjr3Rl0LAv05L0hjV4,spotify:playlist:2JskSjr3Rl0LAv05L0hjV4,Spotify,25
Macy's Thanksgiving Day Parade 2013,0TmNZR8QmL60k1gWWa37fg,spotify:playlist:0TmNZR8QmL60k1gWWa37fg,Spotify,28
Austin Sounds,2d96NZvM6U7G14LDQdNfwS,spotify:playlist:2d96NZvM6U7G14LDQdNfwS,Spotify,41
Sunset in Austin,1MXbpQ8OiNsYtQxiXexPJ7,spotify:playlist:1MXbpQ8OiNsYtQxiXexPJ7,Spotify,44
